,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
Gleason Grade Tertiary,Gleason Grade Tertiary,GleasonGradeTertiary,The text term used to describe the tertiary pattern as described by the Gleason Grading System.,False,,"['Pattern 5', 'Pattern 4', '']",,Diagnosis
Lymph Nodes Positive,Lymph Nodes Positive,LymphNodesPositive,The number of lymph nodes involved with disease as determined by pathologic examination.,False,,,,Diagnosis
Micropapillary Features,Micropapillary Features,MicropapillaryFeatures,The yes/no/unknown indicator used to describe whether micropapillary features were determined to be present.,False,,"['Absent', 'Unknown', 'Not Reported', 'Present', '']",,Diagnosis
AJCC Clinical N,AJCC Clinical N,AJCCClinicalN,Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,False,,"['N3', 'N0 (i-)', 'N3c', 'N1b', 'N1a', 'N2c', 'N4', 'N0 (mol+)', 'N1bII', 'N1bIV', 'Unknown', 'N2b', 'N1c', 'Not Reported', 'N3a', 'N1', 'N1bI', 'N3b', 'N0', 'N1mi', 'N0 (i+)', 'N2a', 'N0 (mol-)', 'N1bIII', 'N2', 'NX', '']",,Diagnosis
Tumor Largest Dimension Diameter,Tumor Largest Dimension Diameter,TumorLargestDimensionDiameter,"Numeric value used to describe the maximum diameter or dimension of the primary tumor, measured in centimeters.",False,,,,Diagnosis
WHO NTE Grade,WHO NTE Grade,WHONTEGrade,WHO NTE Grade,False,,"['Not Reported', 'GX', 'G2', 'Unknown', 'G3', 'G1', '']",,Diagnosis
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,Diagnosis
Year of Diagnosis,Year of Diagnosis,YearofDiagnosis,Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.,False,,,,Diagnosis
Last Known Disease Status,Last Known Disease Status,LastKnownDiseaseStatus,Text term that describes the last known state or condition of an individual's neoplasm.,True,,"['With tumor', 'Not Reported', 'Not Applicable', 'unknown tumor status', 'Distant met recurrence/progression', 'Loco-regional recurrence/progression', 'Tumor free', 'Biochemical evidence of disease without structural correlate', 'Not Allowed To Collect']",,Diagnosis
IGCCCG Stage,IGCCCG Stage,IGCCCGStage,"The text term used to describe the International Germ Cell Cancer Collaborative Group (IGCCCG), a grouping used to further classify metastatic testicular tumors.",False,,"['Good Prognosis', 'Intermediate Prognosis', 'Not Reported', 'Poor Prognosis', 'Unknown', '']",,Diagnosis
Residual Disease,Residual Disease,ResidualDisease,Text terms to describe the status of a tissue margin following surgical resection.,False,,"['Not Reported', 'R1', 'RX', 'R0', 'Unknown', 'R2', '']",,Diagnosis
Best Overall Response,Best Overall Response,BestOverallResponse,The best improvement achieved throughout the entire course of protocol treatment.,False,,"['DU-Disease Unchanged', 'MX-Mixed Response', 'PSR-Pseudoresponse', 'CRU-Complete Response Unconfirmed', 'PPD-Pseudoprogression', 'CPD-Clinical Progression', 'IMR-Immunoresponse', 'SD-Stable Disease', 'SPD-Surgical Progression', 'PB-Palliative Benefit', 'PA-Palliative Therapy', 'VGPR-Very Good Partial Response', 'CR-Complete Response', 'NR-No Response', 'RPD-Radiographic Progressive Disease', 'sCR-Stringent Complete Response', 'NPB-No Palliative Benefit', 'MR-Minimal/Marginal Response', 'RP-Response', 'TE-Too Early', 'PR-Partial Response', 'AJ-Adjuvant Therapy', 'Non-CR/Non-PD-Non-CR/Non-PD', 'PD-Progressive Disease', 'RD-Responsive Disease', 'IPD-Immunoprogression', '']",,Diagnosis
AJCC Clinical Stage,AJCC Clinical Stage,AJCCClinicalStage,"Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.",False,,"['Stage IC', 'Stage IIA', 'Stage IIC', 'Stage IVB', 'Stage IIIA', 'Stage IB', 'Stage IIIC2', 'Stage IS', 'Stage I', 'Stage IVC', 'Stage 0', 'Stage IB2', 'Stage IIC1', 'Unknown', 'Stage 0is', 'Stage IVA', 'Stage IA', 'Not Reported', 'Stage 0a', 'Stage Tis', 'Stage X', 'Stage IB1', 'Stage IIB', 'Stage II', 'Stage IA2', 'Stage III', 'Stage IIIC1', 'Stage IV', 'Stage IIIB', 'Stage IIA1', 'Stage IA1', 'Stage IIIC', 'Stage IIA2', '']",,Diagnosis
Synchronous Malignancy,Synchronous Malignancy,SynchronousMalignancy,"A yes/no/unknown indicator used to describe whether the patient had an additional malignant diagnosis at the same time the tumor used for sequencing was diagnosed. If both tumors were sequenced, both tumors would have synchronous malignancies.",False,,"['No', 'Unknown', 'Not Reported', 'Yes', '']",,Diagnosis
Classification of Tumor,Classification of Tumor,ClassificationofTumor,Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.,False,,"['Not Reported', 'primary', 'Other', 'Unknown', 'Metastasis', 'Recurrence', 'Not Allowed To Collect', '']",,Diagnosis
Medulloblastoma Molecular Classification,Medulloblastoma Molecular Classification,MedulloblastomaMolecularClassification,The text term used to describe the classification of medulloblastoma tumors based on molecular features.,False,,"['SHH-Activated', 'Not Reported', 'Not Determined', 'WNT-Activated', 'Non-WNT/non-SHH Activated', 'Unknown', '']",,Diagnosis
Supratentorial Localization,Supratentorial Localization,SupratentorialLocalization,Text term to specify the location of the supratentorial tumor.,False,,"['Not Reported', 'Spinal Cord', 'Unknown', 'Cerebral Cortex', 'White Matter', 'Deep Gray', '']",,Diagnosis
Non Nodal Regional Disease,Non Nodal Regional Disease,NonNodalRegionalDisease,The text term used to describe whether the patient had non-nodal regional disease.,False,,"['Not Reported', 'Absent', 'Unknown', 'Indeterminate', 'Present', '']",,Diagnosis
Tumor Focality,Tumor Focality,TumorFocality,The text term used to describe whether the patient's disease originated in a single location or multiple locations.,False,,"['Unknown', 'Unifocal', 'Not Reported', 'Multifocal', '']",,Diagnosis
AJCC Clinical M,AJCC Clinical M,AJCCClinicalM,Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.,False,,"['M1c', 'M1', 'Not Reported', 'Unknown', 'M1b', 'M0', 'M1a', 'cM0 (i+)', 'MX', '']",,Diagnosis
First Symptom Prior to Diagnosis,First Symptom Prior to Diagnosis,FirstSymptomPriortoDiagnosis,Text term used to describe the patient's first symptom experienced prior to diagnosis and thought to be related to the disease.,False,,"['Visual Changes', 'Not Reported', 'Altered Mental Status', 'Headaches', 'Motor or Movement Changes', 'Unknown', 'Sensory Changes', 'Seizures', '']",,Diagnosis
Greatest Tumor Dimension,Greatest Tumor Dimension,GreatestTumorDimension,Numeric value that represents the measurement of the widest portion of the tumor in centimeters.,False,,,,Diagnosis
AJCC Pathologic N,AJCC Pathologic N,AJCCPathologicN,The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.,False,,"['N3', 'N0 (i-)', 'N3c', 'N1b', 'N1a', 'N2c', 'N4', 'N0 (mol+)', 'N1bII', 'N1bIV', 'Unknown', 'N2b', 'N1c', 'Not Reported', 'N3a', 'N1', 'N1bI', 'N3b', 'N0', 'N1mi', 'N0 (i+)', 'N2a', 'N0 (mol-)', 'N1bIII', 'N2', 'NX', '']",,Diagnosis
Metastasis at Diagnosis,Metastasis at Diagnosis,MetastasisatDiagnosis,The text term used to describe the extent of metastatic disease present at diagnosis.,False,,"['Not Reported', 'Regional Metastasis', 'Distant Metastasis', 'Metastasis NOS', 'Unknown', 'No Metastasis', '']",,Diagnosis
Gross Tumor Weight,Gross Tumor Weight,GrossTumorWeight,"Numeric value used to describe the gross pathologic tumor weight, measured in grams.",False,,,,Diagnosis
Breslow Thickness,Breslow Thickness,BreslowThickness,"The number that describes the distance, in millimeters, between the upper layer of the epidermis and the deepest point of tumor penetration.",False,,,,Diagnosis
Lymph Node Involved Site,Lymph Node Involved Site,LymphNodeInvolvedSite,The text term used to describe the anatomic site of lymph node involvement.,False,,"['Epitrochlear', 'Splenic', 'Retroperitoneal', 'Iliac-external', 'Femoral', 'Axillary', 'None', 'Cervical', 'Unknown', 'Paraaortic', 'Mesenteric', 'Not Reported', 'Popliteal', 'Hilar', 'Supraclavicular', 'Inguinal', 'Iliac-common', 'Occipital', 'Iliac', 'Submandibular', 'NOS', 'Parotid', 'Mediastinal', '']",,Diagnosis
Progression or Recurrence,Progression or Recurrence,ProgressionorRecurrence,Yes/No/unknown indicator to identify whether a patient has had a new tumor event after initial treatment.,True,,"['No', 'Yes - Progression or Recurrence', 'Unknown', 'Not Reported']",,Diagnosis
HTAN Participant ID,HTAN Participant ID,HTANParticipantID,HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy ),True,,,,Diagnosis
Gleason Patterns Percent,Gleason Patterns Percent,GleasonPatternsPercent,"Numeric value that represents the percentage of Patterns 4 and 5, which is used when the Gleason score is greater than 7 to predict prognosis.",False,,,,Diagnosis
Vascular Invasion Present,Vascular Invasion Present,VascularInvasionPresent,The yes/no indicator to ask if large vessel or venous invasion was detected by surgery or presence in a tumor specimen.,False,,"['Yes - Vascular Invasion Present', 'Not Reported', 'No', 'Unknown', 'Not Allowed To Collect', '']",,Diagnosis
Mitotic Count,Mitotic Count,MitoticCount,"The number of mitoses identified under the microscope in tumors. The method of counting varies, according to the specific tumor examined. Usually, the mitotic count is determined based on the number of mitoses per high power field (40X) or 10 high power fields.",False,,,,Diagnosis
Perineural Invasion Present,Perineural Invasion Present,PerineuralInvasionPresent,A yes/no indicator to ask if perineural invasion or infiltration of tumor or cancer is present.,False,,"['No', 'Unknown', 'Not Reported', 'Yes', '']",,Diagnosis
Secondary Gleason Grade,Secondary Gleason Grade,SecondaryGleasonGrade,"The text term used to describe the secondary Gleason score, which describes the pattern of cells making up the second largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.",False,,"['Pattern 2', 'Pattern 3', 'Pattern 5', 'Pattern 1', 'Pattern 4', '']",,Diagnosis
ISS Stage,ISS Stage,ISSStage,The multiple myeloma disease stage at diagnosis.,False,,"['Not Reported', 'III', 'Unknown', 'I', 'II', '']",,Diagnosis
Margins Involved Site,Margins Involved Site,MarginsInvolvedSite,The text term used to describe the anatomic sites that were involved in the survival margins.,False,,"['Renal Sinus', 'Gerota Fascia', 'Renal Vein', 'Ureter', 'Renal', 'Parenchyma', 'Perinephric Fat', 'Renal Capsule', '']",,Diagnosis
INPC Grade,INPC Grade,INPCGrade,"Text term used to describe the classification of neuroblastic differentiation within neuroblastoma tumors, as defined by the International Neuroblastoma Pathology Classification (INPC).",False,,"['Differentiating', 'Poorly Differentiated', 'Not Reported', 'Unknown', 'Undifferentiated', '']",,Diagnosis
Morphology,Morphology,Morphology,"The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data.",True,,,,Diagnosis
Tumor Grade,Tumor Grade,TumorGrade,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.",True,,"['Low Grade', 'Not Reported', 'High Grade', 'Intermediate Grade', 'Not Applicable', 'GX', 'G2', 'Unknown', 'GB', 'G3', 'G4', 'G1']",,Diagnosis
Ovarian Surface Involvement,Ovarian Surface Involvement,OvarianSurfaceInvolvement,The text term that describes whether the surface tissue (outer boundary) of the ovary shows evidence of involvement or presence of cancer.,False,,"['Not Reported', 'Absent', 'Unknown', 'Indeterminate', 'Present', '']",,Diagnosis
AJCC Staging System Edition,AJCC Staging System Edition,AJCCStagingSystemEdition,"The text term used to describe the version or edition of the American Joint Committee on Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.",False,,"['6th', 'Not Reported', '5th', '7th', '1st', 'Unknown', '4th', '8th', '2nd', '3rd', '']",,Diagnosis
